time,n,dt,threshold
0.3,97,0.3,2.35
0.6,98,0.3,2.35
0.9,93,0.3,2.35
1.2,89,0.3,2.35
1.5,96,0.3,2.35
1.8,89,0.3,2.35
2.1,85,0.3,2.35
2.4,68,0.3,2.35
2.7,108,0.3,2.35
3,84,0.3,2.35
3.3,107,0.3,2.35
3.6,75,0.3,2.35
3.9,101,0.3,2.35
4.2,85,0.3,2.35
4.5,90,0.3,2.35
4.8,97,0.3,2.35
5.1,101,0.3,2.35
5.4,86,0.3,2.35
5.7,93,0.3,2.35
6,99,0.3,2.35
6.3,101,0.3,2.35
6.6,96,0.3,2.35
6.9,89,0.3,2.35
7.2,79,0.3,2.35
7.5,88,0.3,2.35
7.8,81,0.3,2.35
8.1,102,0.3,2.35
8.4,91,0.3,2.35
8.7,87,0.3,2.35
9,102,0.3,2.35
9.3,78,0.3,2.35
9.6,90,0.3,2.35
9.9,104,0.3,2.35
10.2,88,0.3,2.35
10.5,93,0.3,2.35
10.8,80,0.3,2.35
11.1,91,0.3,2.35
11.4,98,0.3,2.35
11.7,94,0.3,2.35
12,86,0.3,2.35
12.3,97,0.3,2.35
12.6,73,0.3,2.35
12.9,86,0.3,2.35
13.2,110,0.3,2.35
13.5,70,0.3,2.35
13.8,97,0.3,2.35
14.1,105,0.3,2.35
14.4,82,0.3,2.35
14.7,84,0.3,2.35
15,87,0.3,2.35
15.3,93,0.3,2.35
15.6,94,0.3,2.35
15.9,94,0.3,2.35
16.2,100,0.3,2.35
16.5,94,0.3,2.35
16.8,98,0.3,2.35
17.1,88,0.3,2.35
17.4,75,0.3,2.35
17.7,105,0.3,2.35
18,82,0.3,2.35
18.3,101,0.3,2.35
18.6,84,0.3,2.35
18.9,80,0.3,2.35
19.2,97,0.3,2.35
19.5,93,0.3,2.35
19.8,95,0.3,2.35
20.1,92,0.3,2.35
20.4,88,0.3,2.35
20.7,73,0.3,2.35
21,88,0.3,2.35
21.3,106,0.3,2.35
21.6,105,0.3,2.35
21.9,84,0.3,2.35
22.2,95,0.3,2.35
22.5,90,0.3,2.35
22.8,88,0.3,2.35
23.1,97,0.3,2.35
23.4,90,0.3,2.35
23.7,100,0.3,2.35
24,91,0.3,2.35
24.3,96,0.3,2.35
24.6,75,0.3,2.35
24.9,80,0.3,2.35
25.2,96,0.3,2.35
25.5,86,0.3,2.35
25.8,92,0.3,2.35
26.1,89,0.3,2.35
26.4,77,0.3,2.35
26.7,89,0.3,2.35
27,111,0.3,2.35
27.3,93,0.3,2.35
27.6,96,0.3,2.35
27.9,80,0.3,2.35
28.2,108,0.3,2.35
28.5,95,0.3,2.35
28.8,93,0.3,2.35
29.1,81,0.3,2.35
29.4,89,0.3,2.35
29.7,95,0.3,2.35
30,65,0.3,2.35
30.3,86,0.3,2.35
30.6,88,0.3,2.35
30.9,78,0.3,2.35
31.2,70,0.3,2.35
31.5,94,0.3,2.35
31.8,94,0.3,2.35
32.1,66,0.3,2.35
32.4,86,0.3,2.35
32.7,103,0.3,2.35
33,84,0.3,2.35
33.3,99,0.3,2.35
33.6,94,0.3,2.35
33.9,94,0.3,2.35
34.2,88,0.3,2.35
34.5,66,0.3,2.35
34.8,95,0.3,2.35
35.1,93,0.3,2.35
35.4,91,0.3,2.35
35.7,81,0.3,2.35
36,90,0.3,2.35
36.3,84,0.3,2.35
36.6,93,0.3,2.35
36.9,101,0.3,2.35
37.2,88,0.3,2.35
37.5,74,0.3,2.35
37.8,112,0.3,2.35
38.1,95,0.3,2.35
38.4,91,0.3,2.35
38.7,77,0.3,2.35
39,78,0.3,2.35
39.3,93,0.3,2.35
39.6,102,0.3,2.35
39.9,80,0.3,2.35
40.2,88,0.3,2.35
40.5,87,0.3,2.35
40.8,79,0.3,2.35
41.1,83,0.3,2.35
41.4,87,0.3,2.35
41.7,111,0.3,2.35
42,89,0.3,2.35
42.3,71,0.3,2.35
42.6,91,0.3,2.35
42.9,86,0.3,2.35
43.2,87,0.3,2.35
43.5,107,0.3,2.35
43.8,80,0.3,2.35
44.1,95,0.3,2.35
44.4,76,0.3,2.35
44.7,97,0.3,2.35
45,87,0.3,2.35
45.3,72,0.3,2.35
45.6,89,0.3,2.35
45.9,95,0.3,2.35
46.2,88,0.3,2.35
46.5,88,0.3,2.35
46.8,82,0.3,2.35
47.1,94,0.3,2.35
47.4,98,0.3,2.35
47.7,111,0.3,2.35
48,79,0.3,2.35
48.3,86,0.3,2.35
48.6,75,0.3,2.35
48.9,94,0.3,2.35
49.2,90,0.3,2.35
49.5,97,0.3,2.35
49.8,96,0.3,2.35
50.1,70,0.3,2.35
50.4,86,0.3,2.35
50.7,96,0.3,2.35
51,80,0.3,2.35
51.3,85,0.3,2.35
51.6,89,0.3,2.35
51.9,80,0.3,2.35
52.2,83,0.3,2.35
52.5,101,0.3,2.35
52.8,92,0.3,2.35
53.1,94,0.3,2.35
53.4,89,0.3,2.35
53.7,97,0.3,2.35
54,99,0.3,2.35
54.3,90,0.3,2.35
54.6,109,0.3,2.35
54.9,97,0.3,2.35
55.2,69,0.3,2.35
55.5,86,0.3,2.35
55.8,86,0.3,2.35
56.1,92,0.3,2.35
56.4,110,0.3,2.35
56.7,95,0.3,2.35
57,84,0.3,2.35
57.3,76,0.3,2.35
57.6,93,0.3,2.35
57.9,81,0.3,2.35
58.2,78,0.3,2.35
58.5,93,0.3,2.35
58.8,98,0.3,2.35
59.1,72,0.3,2.35
59.4,74,0.3,2.35
59.7,90,0.3,2.35
