time,n,dt,threshold
0.2,5,0.2,2.5
0.4,1,0.2,2.5
0.6,1,0.2,2.5
0.8,3,0.2,2.5
1,4,0.2,2.5
1.2,4,0.2,2.5
1.4,2,0.2,2.5
1.6,4,0.2,2.5
1.8,7,0.2,2.5
2,2,0.2,2.5
2.2,3,0.2,2.5
2.4,2,0.2,2.5
2.6,4,0.2,2.5
2.8,1,0.2,2.5
3,3,0.2,2.5
3.2,4,0.2,2.5
3.4,3,0.2,2.5
3.6,0,0.2,2.5
3.8,3,0.2,2.5
4,1,0.2,2.5
4.2,1,0.2,2.5
4.4,7,0.2,2.5
4.6,5,0.2,2.5
4.8,4,0.2,2.5
5,3,0.2,2.5
5.2,2,0.2,2.5
5.4,3,0.2,2.5
5.6,2,0.2,2.5
5.8,1,0.2,2.5
6,2,0.2,2.5
6.2,4,0.2,2.5
6.4,2,0.2,2.5
6.6,3,0.2,2.5
6.8,3,0.2,2.5
7,8,0.2,2.5
7.2,3,0.2,2.5
7.4,4,0.2,2.5
7.6,0,0.2,2.5
7.8,1,0.2,2.5
8,2,0.2,2.5
8.2,1,0.2,2.5
8.4,2,0.2,2.5
8.6,6,0.2,2.5
8.8,1,0.2,2.5
9,2,0.2,2.5
9.2,1,0.2,2.5
9.4,4,0.2,2.5
9.6,6,0.2,2.5
9.8,2,0.2,2.5
10,3,0.2,2.5
10.2,0,0.2,2.5
10.4,4,0.2,2.5
10.6,3,0.2,2.5
10.8,1,0.2,2.5
11,3,0.2,2.5
11.2,4,0.2,2.5
11.4,3,0.2,2.5
11.6,2,0.2,2.5
11.8,3,0.2,2.5
12,2,0.2,2.5
12.2,5,0.2,2.5
12.4,2,0.2,2.5
12.6,0,0.2,2.5
12.8,3,0.2,2.5
13,2,0.2,2.5
13.2,4,0.2,2.5
13.4,6,0.2,2.5
13.6,5,0.2,2.5
13.8,2,0.2,2.5
14,3,0.2,2.5
14.2,1,0.2,2.5
14.4,1,0.2,2.5
14.6,3,0.2,2.5
14.8,6,0.2,2.5
15,6,0.2,2.5
15.2,2,0.2,2.5
15.4,3,0.2,2.5
15.6,5,0.2,2.5
15.8,0,0.2,2.5
16,2,0.2,2.5
16.2,2,0.2,2.5
16.4,1,0.2,2.5
16.6,3,0.2,2.5
16.8,1,0.2,2.5
17,2,0.2,2.5
17.2,1,0.2,2.5
17.4,3,0.2,2.5
17.6,4,0.2,2.5
17.8,7,0.2,2.5
18,4,0.2,2.5
18.2,1,0.2,2.5
18.4,5,0.2,2.5
18.6,4,0.2,2.5
18.8,5,0.2,2.5
19,2,0.2,2.5
19.2,1,0.2,2.5
19.4,2,0.2,2.5
19.6,1,0.2,2.5
19.8,2,0.2,2.5
20,1,0.2,2.5
20.2,2,0.2,2.5
20.4,2,0.2,2.5
20.6,5,0.2,2.5
20.8,2,0.2,2.5
21,1,0.2,2.5
21.2,0,0.2,2.5
21.4,4,0.2,2.5
21.6,4,0.2,2.5
21.8,1,0.2,2.5
22,4,0.2,2.5
22.2,4,0.2,2.5
22.4,2,0.2,2.5
22.6,0,0.2,2.5
22.8,2,0.2,2.5
23,3,0.2,2.5
23.2,3,0.2,2.5
23.4,5,0.2,2.5
23.6,1,0.2,2.5
23.8,2,0.2,2.5
24,3,0.2,2.5
24.2,5,0.2,2.5
24.4,2,0.2,2.5
24.6,2,0.2,2.5
24.8,2,0.2,2.5
25,5,0.2,2.5
25.2,2,0.2,2.5
25.4,2,0.2,2.5
25.6,1,0.2,2.5
25.8,0,0.2,2.5
26,3,0.2,2.5
26.2,3,0.2,2.5
26.4,4,0.2,2.5
26.6,3,0.2,2.5
26.8,2,0.2,2.5
27,2,0.2,2.5
27.2,3,0.2,2.5
27.4,1,0.2,2.5
27.6,1,0.2,2.5
27.8,1,0.2,2.5
28,2,0.2,2.5
28.2,3,0.2,2.5
28.4,4,0.2,2.5
28.6,2,0.2,2.5
28.8,0,0.2,2.5
29,3,0.2,2.5
29.2,2,0.2,2.5
29.4,4,0.2,2.5
29.6,2,0.2,2.5
29.8,5,0.2,2.5
30,3,0.2,2.5
30.2,0,0.2,2.5
30.4,3,0.2,2.5
30.6,3,0.2,2.5
30.8,4,0.2,2.5
31,4,0.2,2.5
31.2,4,0.2,2.5
31.4,1,0.2,2.5
31.6,4,0.2,2.5
31.8,1,0.2,2.5
32,5,0.2,2.5
32.2,3,0.2,2.5
32.4,4,0.2,2.5
32.6,1,0.2,2.5
32.8,4,0.2,2.5
33,3,0.2,2.5
33.2,1,0.2,2.5
33.4,2,0.2,2.5
33.6,1,0.2,2.5
33.8,2,0.2,2.5
34,2,0.2,2.5
34.2,0,0.2,2.5
34.4,2,0.2,2.5
34.6,4,0.2,2.5
34.8,0,0.2,2.5
35,1,0.2,2.5
35.2,4,0.2,2.5
35.4,4,0.2,2.5
35.6,4,0.2,2.5
35.8,3,0.2,2.5
36,2,0.2,2.5
36.2,2,0.2,2.5
36.4,2,0.2,2.5
36.6,2,0.2,2.5
36.8,6,0.2,2.5
37,3,0.2,2.5
37.2,2,0.2,2.5
37.4,2,0.2,2.5
37.6,3,0.2,2.5
37.8,2,0.2,2.5
38,4,0.2,2.5
38.2,2,0.2,2.5
38.4,2,0.2,2.5
38.6,3,0.2,2.5
38.8,3,0.2,2.5
39,2,0.2,2.5
39.2,2,0.2,2.5
39.4,7,0.2,2.5
39.6,2,0.2,2.5
39.8,2,0.2,2.5
40,2,0.2,2.5
